id,id_post,date,score,count_month,sentiment_score,sentiment_num,mean_sentiment_month,topic_id,lexical_entropy_month,year_month
1,1,2024-11-01,3,337,0.9741685589154562,0,0.599406528189911,2,9.254897778263544,2024-11
2,2,2024-11-01,1291,337,0.60859814286232,0,0.599406528189911,2,9.254897778263544,2024-11
3,2,2024-11-01,341,337,0.5646240264177322,1,0.599406528189911,1,9.254897778263544,2024-11
4,2,2024-11-01,244,337,0.9184712568918864,0,0.599406528189911,2,9.254897778263544,2024-11
5,2,2024-11-01,148,337,0.9625563025474548,0,0.599406528189911,0,9.254897778263544,2024-11
6,2,2024-11-01,137,337,0.934602677822113,0,0.599406528189911,1,9.254897778263544,2024-11
7,2,2024-11-01,91,337,0.935959537823995,0,0.599406528189911,1,9.254897778263544,2024-11
8,2,2024-11-01,70,337,0.7481589168310165,0,0.599406528189911,1,9.254897778263544,2024-11
9,2,2024-11-01,57,337,0.7289569079875946,1,0.599406528189911,1,9.254897778263544,2024-11
10,2,2024-11-01,51,337,0.8018807172775269,2,0.599406528189911,0,9.254897778263544,2024-11
11,2,2024-11-01,44,337,0.840202252070109,0,0.599406528189911,0,9.254897778263544,2024-11
12,2,2024-11-01,34,337,0.7766919533411661,0,0.599406528189911,0,9.254897778263544,2024-11
13,2,2024-11-01,32,337,0.9445125659306844,2,0.599406528189911,2,9.254897778263544,2024-11
14,2,2024-11-01,31,337,0.9555354515711466,0,0.599406528189911,1,9.254897778263544,2024-11
15,2,2024-11-01,27,337,0.880685031414032,0,0.599406528189911,0,9.254897778263544,2024-11
16,2,2024-11-01,26,337,0.9295193354288737,2,0.599406528189911,2,9.254897778263544,2024-11
17,2,2024-11-01,23,337,0.9345433115959167,0,0.599406528189911,2,9.254897778263544,2024-11
18,2,2024-11-01,23,337,0.9423699378967285,2,0.599406528189911,1,9.254897778263544,2024-11
19,2,2024-11-01,23,337,0.9249309102694193,0,0.599406528189911,0,9.254897778263544,2024-11
20,2,2024-11-01,22,337,0.8902632395426432,0,0.599406528189911,0,9.254897778263544,2024-11
21,2,2024-11-01,19,337,0.9985629916191101,2,0.599406528189911,1,9.254897778263544,2024-11
22,2,2024-11-01,19,337,0.8666459719340006,2,0.599406528189911,1,9.254897778263544,2024-11
23,2,2024-11-01,19,337,0.8868663112322489,0,0.599406528189911,2,9.254897778263544,2024-11
24,2,2024-11-01,18,337,0.9521083831787109,0,0.599406528189911,1,9.254897778263544,2024-11
25,2,2024-11-01,18,337,0.9550768335660299,0,0.599406528189911,1,9.254897778263544,2024-11
26,2,2024-11-01,16,337,0.6565448641777039,1,0.599406528189911,2,9.254897778263544,2024-11
27,2,2024-11-01,15,337,0.9724215467770895,0,0.599406528189911,1,9.254897778263544,2024-11
28,2,2024-11-01,15,337,0.9103933374087015,0,0.599406528189911,1,9.254897778263544,2024-11
29,2,2024-11-01,14,337,0.972937266031901,0,0.599406528189911,0,9.254897778263544,2024-11
30,2,2024-11-01,14,337,0.9992226362228394,0,0.599406528189911,0,9.254897778263544,2024-11
31,2,2024-11-01,13,337,0.9295288523038229,2,0.599406528189911,1,9.254897778263544,2024-11
32,2,2024-11-01,12,337,0.9036334951718649,0,0.599406528189911,2,9.254897778263544,2024-11
33,2,2024-11-01,11,337,0.7977921664714813,0,0.599406528189911,2,9.254897778263544,2024-11
34,2,2024-11-01,11,337,0.9648671547571818,0,0.599406528189911,1,9.254897778263544,2024-11
35,2,2024-11-01,8,337,0.9912868142127991,2,0.599406528189911,2,9.254897778263544,2024-11
36,2,2024-11-01,7,337,0.9386250376701355,0,0.599406528189911,0,9.254897778263544,2024-11
37,2,2024-11-01,7,337,0.9994774460792542,0,0.599406528189911,1,9.254897778263544,2024-11
38,2,2024-11-01,6,337,0.9520981113115946,2,0.599406528189911,2,9.254897778263544,2024-11
39,2,2024-11-01,6,337,0.9342526197433472,1,0.599406528189911,2,9.254897778263544,2024-11
40,2,2024-11-01,5,337,0.9937726855278015,2,0.599406528189911,2,9.254897778263544,2024-11
41,2,2024-11-01,5,337,0.8937235772609711,1,0.599406528189911,1,9.254897778263544,2024-11
42,2,2024-11-01,4,337,0.9633158246676127,0,0.599406528189911,2,9.254897778263544,2024-11
43,2,2024-11-01,3,337,0.7465251088142395,1,0.599406528189911,2,9.254897778263544,2024-11
44,2,2024-11-01,3,337,0.8540192643801371,2,0.599406528189911,1,9.254897778263544,2024-11
45,2,2024-11-01,3,337,0.9524069031079611,0,0.599406528189911,0,9.254897778263544,2024-11
46,2,2024-11-01,3,337,0.8253839015960693,0,0.599406528189911,0,9.254897778263544,2024-11
47,2,2024-11-01,3,337,0.7109384139378866,0,0.599406528189911,0,9.254897778263544,2024-11
48,2,2024-11-01,3,337,0.8524489005406698,0,0.599406528189911,1,9.254897778263544,2024-11
49,2,2024-11-01,3,337,0.7590343356132507,1,0.599406528189911,1,9.254897778263544,2024-11
50,2,2024-11-01,2,337,0.9897276759147644,2,0.599406528189911,2,9.254897778263544,2024-11
51,2,2024-11-01,2,337,0.9065006772677103,0,0.599406528189911,1,9.254897778263544,2024-11
52,3,2024-11-03,106,337,0.8560620844364166,0,0.599406528189911,1,9.254897778263544,2024-11
53,3,2024-11-03,59,337,0.9595262209574381,2,0.599406528189911,1,9.254897778263544,2024-11
54,3,2024-11-03,55,337,0.7632860541343689,0,0.599406528189911,1,9.254897778263544,2024-11
55,3,2024-11-03,33,337,0.7629015743732452,1,0.599406528189911,0,9.254897778263544,2024-11
56,3,2024-11-03,22,337,0.9594224890073141,0,0.599406528189911,0,9.254897778263544,2024-11
